country,group,year,rli,qn05,qn95,n_sp,n_gen_changes
"",aggregated,1995,0.739711587308624074,0.737023367669347063,0.743155645369726003,,
"",aggregated,2006,0.733038517576555915,0.731315575380507954,0.734917587168800845,,
"",aggregated,2009,0.731195492801054114,0.729219292495958071,0.7331135745011641,,
"",aggregated,2015,0.727387098285829148,0.723937067492872899,0.730123183934559106,,
"",aggregated,2019,0.725002294609098041,0.720229244259568024,0.728701335703569986,,
"",aggregated,2020,0.724587198573310109,0.719613426560027025,0.728505872176409941,,
"",aggregated,2010,0.730465159254789054,0.728350386447257137,0.732460323223167009,,
"",aggregated,2011,0.729796909378180092,0.727351761958423992,0.731921217443844974,,
"",aggregated,2012,0.729086433619280938,0.726523491131400023,0.731390027636004136,,
"",aggregated,1996,0.739039435911000964,0.736472713888185027,0.742113446275030064,,
"",aggregated,1997,0.738589784346979972,0.736061884576369119,0.741163159492795875,,
"",aggregated,2008,0.731813316529705937,0.729944562424979959,0.733592069944829062,,
"",aggregated,2013,0.728533345945765132,0.725783300571018031,0.730952741959972063,,
"",aggregated,2017,0.726073395947737787,0.722197228015419079,0.729433621470726989,,
"",aggregated,2018,0.725543082247074089,0.721520474918417087,0.729112486443327934,,
"",aggregated,2002,0.735337898533937939,0.73366619751569917,0.737206681708139078,,
"",aggregated,2003,0.734784750714792878,0.733002665688409105,0.736723586314823042,,
"",aggregated,2004,0.734117263055617086,0.732474506133271031,0.736001078463956016,,
"",aggregated,2005,0.733519245351200944,0.731960063725983989,0.735425481466124964,,
"",aggregated,2014,0.727946585120681999,0.724770015576300053,0.730362431695459002,,
"",aggregated,1998,0.73780889548418005,0.735526491678665018,0.740464928566411995,,
"",aggregated,2000,0.736498817740089184,0.734632937944722064,0.73873462668089096,,
"",aggregated,2001,0.735886111896975059,0.734045212526086011,0.737926906673092131,,
"",aggregated,1999,0.737160587842215054,0.735098029473258974,0.73957714171872091,,
"",aggregated,1993,0.740889456567785931,0.73782760560027405,0.74494674539192407,,
"",aggregated,2016,0.726618316073712078,0.722885943884761017,0.729800227050130035,,
"",aggregated,2007,0.732388850748670106,0.730679683275749059,0.734237420046540912,,
"",aggregated,1994,0.740297513214540071,0.737568150810440915,0.744018619882181986,,
