country,group,year,rli,qn05,qn95,n_sp,n_gen_changes
Western Asia (M49) and Northern Africa (M49),aggregated,2006,0.866450935442100945,0.859123962093777949,0.873462681366892202,,
Western Asia (M49) and Northern Africa (M49),aggregated,2009,0.85841228466749786,0.847237905257604007,0.865803494889225922,,
Western Asia (M49) and Northern Africa (M49),aggregated,2010,0.85534875383270903,0.842072373545899144,0.863216980371283027,,
Western Asia (M49) and Northern Africa (M49),aggregated,2011,0.852138101584479113,0.836037137006862885,0.861454869531819045,,
Western Asia (M49) and Northern Africa (M49),aggregated,2012,0.849251106787888954,0.832930100079801949,0.860471094322434071,,
Western Asia (M49) and Northern Africa (M49),aggregated,2013,0.846689850514414033,0.825495334002060877,0.859661150805226981,,
Western Asia (M49) and Northern Africa (M49),aggregated,1993,0.897575274391230082,0.893984467576546926,0.901463303882362066,,
Western Asia (M49) and Northern Africa (M49),aggregated,1994,0.897168273221772061,0.893692608374380026,0.900401612546707142,,
Western Asia (M49) and Northern Africa (M49),aggregated,1995,0.896403673125894085,0.892347286143427953,0.899483179632778018,,
Western Asia (M49) and Northern Africa (M49),aggregated,1996,0.895121169400364014,0.88998165979166699,0.898893561290602938,,
Western Asia (M49) and Northern Africa (M49),aggregated,1997,0.892732215625000047,0.886534109739583021,0.897715645427757059,,
Western Asia (M49) and Northern Africa (M49),aggregated,1998,0.890175167708332937,0.883610864375000027,0.89621767541666697,,
Western Asia (M49) and Northern Africa (M49),aggregated,2015,0.840530899068857029,0.814672668752200013,0.858680756432495973,,
Western Asia (M49) and Northern Africa (M49),aggregated,2020,0.825735040089105921,0.789763216387507017,0.855135250157920912,,
Western Asia (M49) and Northern Africa (M49),aggregated,2016,0.838023871577624924,0.811823793618187017,0.858088696209940882,,
Western Asia (M49) and Northern Africa (M49),aggregated,2000,0.884214419791667039,0.878222814895832982,0.890441836927083008,,
Western Asia (M49) and Northern Africa (M49),aggregated,2002,0.878377140625000052,0.87167659239583295,0.884445467916667005,,
Western Asia (M49) and Northern Africa (M49),aggregated,2003,0.875484123958332972,0.868791938229167005,0.881806800520832934,,
Western Asia (M49) and Northern Africa (M49),aggregated,2007,0.863744300321535041,0.855417739981900849,0.870420712970307875,,
Western Asia (M49) and Northern Africa (M49),aggregated,2019,0.829230958794073048,0.793973057052834941,0.856017960342953077,,
Western Asia (M49) and Northern Africa (M49),aggregated,1999,0.886379831249999972,0.881033957916667054,0.893675002708332999,,
Western Asia (M49) and Northern Africa (M49),aggregated,2001,0.88122145937499996,0.874601784739582944,0.887534454166666986,,
Western Asia (M49) and Northern Africa (M49),aggregated,2004,0.87223359042456905,0.865290768854167003,0.879027133958332985,,
Western Asia (M49) and Northern Africa (M49),aggregated,2005,0.869201481788122066,0.86258492455078406,0.876144543128513975,,
Western Asia (M49) and Northern Africa (M49),aggregated,2008,0.860766381603449093,0.851598704608410917,0.868093586814585039,,
Western Asia (M49) and Northern Africa (M49),aggregated,2014,0.843401195757006006,0.82261122946117804,0.858745768993723124,,
Western Asia (M49) and Northern Africa (M49),aggregated,2017,0.835177213186602985,0.806524368978144945,0.856946283338014037,,
Western Asia (M49) and Northern Africa (M49),aggregated,2018,0.831470079032769038,0.802195602807714958,0.856533770171937991,,
