assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
104025749,104025473,Myliobatis ridens,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,MYLIOBATIDAE,Myliobatis,ridens,,,,"Ruocco, Lucifora, Díaz de Astarloa, Mabragaña &amp; Delpiani, 2012",Critically Endangered,A2bd,3.1,Decreasing,Global
104170822,60151,Fontitrygon colarensis,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,DASYATIDAE,Fontitrygon,colarensis,,,,"(Santos, Gomes &amp; Charvet-Almeida, 2004)",Critically Endangered,A2d,3.1,Decreasing,Global
104171509,39406,Fontitrygon garouaensis,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,DASYATIDAE,Fontitrygon,garouaensis,,,,"(Stauch &amp; Blanc, 1962)",Critically Endangered,A2cd,3.1,Decreasing,Global
104172152,60153,Fontitrygon geijskesi,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,DASYATIDAE,Fontitrygon,geijskesi,,,,"(Boeseman,1948)",Critically Endangered,A2d,3.1,Decreasing,Global
104174049,39414,Fontitrygon ukpam,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,DASYATIDAE,Fontitrygon,ukpam,,,,"(Smith, 1863)",Critically Endangered,A2cd,3.1,Decreasing,Global
104306271,104306247,Pastinachus stellurostris,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,DASYATIDAE,Pastinachus,stellurostris,,,,"Last, Fahmi &amp; Naylor, 2010",Critically Endangered,A2cd,3.1,Decreasing,Global
104681293,104681288,Cnemaspis adii,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Cnemaspis,adii,,,,"Srinivasulu, Kumar &amp; Srinivasulu, 2015",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
104853915,104836850,Calamaria apraeocularis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,CALAMARIIDAE,Calamaria,apraeocularis,,,,"Smith, 1927",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
104853945,104837478,Calamaria longirostris,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,CALAMARIIDAE,Calamaria,longirostris,,,,"Howard &amp; Gillespie, 2007",Critically Endangered,"B2ab(ii,iii)",3.1,Decreasing,Global
107291247,88425572,Pithecopus rusticus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,PHYLLOMEDUSIDAE,Pithecopus,rusticus,,,,"(Bruschi, Lucas, Garcia, &amp; Recco-Pimentel, 2015)",Critically Endangered,"B1ab(ii,iii)",3.1,Decreasing,Global
