internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
18248,Piliocolobus waldroni,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Piliocolobus,waldroni,,,,,"(Hayman, 1936)","<p>Modern taxonomic arrangements of the colobus monkeys either distinguish the red colobus monkeys and the Olive Colobus as separate genera, <em>Piliocolobus</em> and <em>Procolobus</em>, respectively (e.g.,&#160;Kingdon 1997,&#160;Groves 2001, 2005, 2007; Roos <em>et al.</em> 2011), or consider them to belong to one genus <em>Procolobus</em>, with two subgenera (<em>Procolobus</em> for the Olive Colobus and <em>Piliocolobus</em> for the red colobus) (Oates<em> et al. </em>1994, Grubb <em>et al</em>. 2003, 2013; Oates 2011). Ting (2008) placed all the red colobus as subspecies of <em>Procolobus </em>(<em>Piliocolobus</em>)<em> badius</em>. The 2008 IUCN Red List assessments followed the taxonomy of Grubb <em>et al.</em> (2003).<br/><br/>The arrangement of two genera in Groves (2001, 2005, 2007) is followed here: a monotypic <em>Procolobus</em> de Rochebrune, 1887 (Olive Colobus) and polytypic <em>Piliocolobus</em> de Rochebrune, 1887 (red colobus).<br/><br/>This taxon was long regarded as a subspecies of the Western Red Colobus <em>P. badius</em>, along with <em>temminckii</em> (e.g., Kingdon 1997, Grubb <em>et al. </em>2003; see Oates and Ting 2015). Dandelot (1971) and Groves (2007) treated <em>waldroni </em>as a full species and, although Ting (2008a) continued to treat it as subspecies of <em>badius</em>, in his thesis Ting (2008b) indicated that it should be a species (see Oates and Ting 2015).<br/><br/>Groves (2007) used the name <em>waldronae</em> for this monkey; however, Brandon-Jones <em>et al</em>. (2007) argued that <em>waldroni</em> is the correct epithet, as it was first named.</p><p></p>"
166483865,Ischnura solitaria,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Ischnura,solitaria,,,,,"Bota-Sierra, Velásquez-Vélez &amp; Realpe, 2019",
164045981,Photuris bethaniensis,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,LAMPYRIDAE,Photuris,bethaniensis,,,,,"McDermott, 1953","<p><em>Photuris bethaniensis</em> is a member of the <em>P. versicolor</em> species complex which contains many closely related species distinguishable primarily by observed flash pattern, as there are few morphological differences (Barber 1951, McDermott 1967, Lloyd 2018). Genetic and cladistics research, to clarify taxonomic relationships within this species complex, are ongoing (Faust 2017).</p>"
59423,Thorius papaloae,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Thorius,papaloae,,,,,"Hanken &amp; Wake, 2001",
139119297,Atrocalopteryx auco,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,CALOPTERYGIDAE,Atrocalopteryx,auco,,,,,"Hämäläinen, 2014",
161276036,Aloeides stevensoni,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Aloeides,stevensoni,,,,,"Tite &amp; Dickson, 1973",There are no notable issues.
3844,Capys penningtoni,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Capys,penningtoni,,,,,"Riley, 1932",There are no notable issues.
892,Aloeides rossouwi,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Aloeides,rossouwi,,,,,"Henning &amp; Henning, 1982",There are no notable issues.
161321281,Thestor barbatus,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Thestor,barbatus,,,,,"Henning S.F. &amp; Henning G.A., 1997",Genus recently revised by Heath and Pringle (2004).
15414,Orachrysops niobe,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Orachrysops,niobe,,,,,"(Trimen, 1862)",There are no notable issues.
15767,Chrysoritis dicksoni,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Chrysoritis,dicksoni,,,,,"(Gabriel, 1947)","There are small morphological differences between the subpopulations on the West Coast and those on the South Coast, but not sufficient to justify distinction at subspecies level. Genetic comparisons are not possible because there are no extant subpopulations on the West Coast from which to obtain DNA samples for comparison."
161277940,Kedestes sarahae,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,HESPERIIDAE,Kedestes,sarahae,,,,,"Henning G.A. &amp; Henning S.F., 1998","Morphologically, <em>Kedestes sarahae </em>is similar to<em> Kedestes barberae</em>.&#160;<br/><br/>The subspecies <em>Kedestes barberae bonsa</em> displays features transitional between <em>K. b. barbarae</em> and <em>K. sarahae</em>, and the latter may thus represent another subspecies of <em>K. barberae</em>.<br/><br/>It is recommended that DNA comparisons are undertaken to help resolve the relationship between these taxa."
161326462,Dingana fraterna,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NYMPHALIDAE,Dingana,fraterna,,,,,"Henning G.A. &amp; Henning S.F., 1996",There are no notable issues.
161336484,Erikssonia edgei,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Erikssonia,edgei,,,,,"Gardiner &amp; Terblanche, 2010","The Waterberg population of <em>Erikssonia </em>was formerly thought to represent <em>Erikssonia acraeina</em>. This population has subsequently been described as a new species, <em>Erikssonia edgei</em>, by Gardiner and Terblanche (2010)."
21757,Thestor strutti,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Thestor,strutti,,,,,"van Son, 1951",Genus recently revised by Heath and Pringle (2004).
