internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
55527,Sarcohyla labedactyla,"Plectrohyla labedactyla (Mendelson & Toal, 1996)",Plectrohyla,labedactyla,"(Mendelson & Toal, 1996)",,
55583,Sarcohyla pachyderma,"Hyla pachyderma Taylor, 1942",Hyla,pachyderma,"Taylor, 1942",,
55583,Sarcohyla pachyderma,"Plectrohyla pachyderma (Taylor, 1942)",Plectrohyla,pachyderma,"(Taylor, 1942)",,
55592,Megastomatohyla pellita,"Hyla pellita Duellman, 1968",Hyla,pellita,"Duellman, 1968",,
55613,Sarcohyla psarosema,"Plectrohyla psarosema (Campbell & Duellman, 2000)",Plectrohyla,psarosema,"(Campbell & Duellman, 2000)",,
55613,Sarcohyla psarosema,"Hyla psarosema Campbell & Duellman, 2000)",Hyla,psarosema,"Campbell & Duellman, 2000)",,
55639,Sarcohyla sabrina,"Hyla sabrina Caldwell, 1974",Hyla,sabrina,"Caldwell, 1974",,
55639,Sarcohyla sabrina,"Plectrohyla sabrina (Caldwell, 1974)",Plectrohyla,sabrina,"(Caldwell, 1974)",,
55658,Sarcohyla siopela,"Hyla siopela Duellman, 1968",Hyla,siopela,"Duellman, 1968",,
55658,Sarcohyla siopela,"Plectrohyla siopela (Duellman, 1968)",Plectrohyla,siopela,"(Duellman, 1968)",,
55908,Quilticohyla acrochorda,"Ptychohyla acrochorda Campbell & Duellman, 2000",Ptychohyla,acrochorda,"Campbell & Duellman, 2000",,
56876,Craugastor pozo,"Eleutherodactylus pozo Johnson & Savage, 1995",Eleutherodactylus,pozo,"Johnson & Savage, 1995",,
58574,Lithobates chichicuahutla,"Rana chichicuahutla Cuellar, Méndez-De La Cruz & Villagrán-Santa Cruz, 1996.",Rana,chichicuahutla,"Cuellar, Méndez-De La Cruz & Villagrán-Santa Cruz, 1996.",,
59055,Ambystoma dumerilii,"Bathysiredon  dumerilii  ssp. queretarensis  Maldonado-Koerdell, 1948",Bathysiredon ,dumerilii ,,subspecies,"Maldonado-Koerdell, 1948"
59055,Ambystoma dumerilii,"Amblystoma  dumerili (Cope, 1889)",Amblystoma ,dumerili,"(Cope, 1889)",,
59055,Ambystoma dumerilii,"Bathysiredon  dumerilii (Dunn, 1939)",Bathysiredon ,dumerilii,"(Dunn, 1939)",,
59055,Ambystoma dumerilii,"Siredon  dumerilii Dugès, 1870",Siredon ,dumerilii,"Dugès, 1870",,
