country,group,year,rli,qn05,qn95,n_sp,n_gen_changes
Northern Africa (M49),aggregated,2006,0.905362980682257845,0.897325781360318042,0.911923673729789996,,
Northern Africa (M49),aggregated,1998,0.926229172916667065,0.920276755416666981,0.932451201874999969,,
Northern Africa (M49),aggregated,2001,0.918260481250000038,0.912002190416666969,0.924196351770833036,,
Northern Africa (M49),aggregated,2002,0.915709333333332931,0.908334001770833011,0.921732762395833016,,
Northern Africa (M49),aggregated,2019,0.874767109319239955,0.842835955810990023,0.89882727823048203,,
Northern Africa (M49),aggregated,2020,0.871701496078792104,0.83920406215888288,0.897737742872520061,,
Northern Africa (M49),aggregated,1993,0.93340501322846503,0.927326873152334974,0.937638130578818063,,
Northern Africa (M49),aggregated,1995,0.931989270281749049,0.926746822794258018,0.935789760600719944,,
Northern Africa (M49),aggregated,1997,0.928600427083333013,0.922656974158821974,0.934042174712480855,,
Northern Africa (M49),aggregated,2000,0.921112168750000015,0.914880386250000011,0.926985202500000049,,
Northern Africa (M49),aggregated,2015,0.88329708357069403,0.861981634355872828,0.89908938760353696,,
Northern Africa (M49),aggregated,2016,0.880873412826603031,0.855610150809514969,0.899522398157409975,,
Northern Africa (M49),aggregated,2017,0.878764626312127151,0.852059010614987011,0.898808178109155032,,
Northern Africa (M49),aggregated,2018,0.876657644505157041,0.844779858114588,0.898351189926960059,,
Northern Africa (M49),aggregated,2012,0.890608215637877176,0.874143157175890972,0.901139054232764969,,
Northern Africa (M49),aggregated,2007,0.902400632751339971,0.893544049530560991,0.909672725662449944,,
Northern Africa (M49),aggregated,2008,0.900491768115552094,0.889770449566440025,0.90821634956791597,,
Northern Africa (M49),aggregated,2011,0.89311531254486709,0.880111974949823073,0.902035836661060908,,
Northern Africa (M49),aggregated,2004,0.910307988202584073,0.90315467625000001,0.916538093749999949,,
Northern Africa (M49),aggregated,1996,0.930457454467085943,0.924602107010811025,0.935073293633752023,,
Northern Africa (M49),aggregated,2005,0.907901646372085924,0.900573976789672992,0.914297154362747944,,
Northern Africa (M49),aggregated,2013,0.888073048447974189,0.870331453186335979,0.901760149717172999,,
Northern Africa (M49),aggregated,1994,0.932955251906053995,0.927411281461724912,0.937046516888579095,,
Northern Africa (M49),aggregated,1999,0.923700660937500029,0.917563856562499947,0.929433982552082982,,
Northern Africa (M49),aggregated,2009,0.89723554454356913,0.88701970464053792,0.905441134319817986,,
Northern Africa (M49),aggregated,2010,0.895938166664503988,0.883423362282054092,0.903902424825795858,,
Northern Africa (M49),aggregated,2003,0.913052789818704968,0.90580029978938903,0.919066640492512188,,
Northern Africa (M49),aggregated,2014,0.885486656350788048,0.86613110111124203,0.900438831275817031,,
