country,group,year,rli,qn05,qn95,n_sp,n_gen_changes
Europe (M49),aggregated,2016,0.854006095484097005,0.823069189736572948,0.878287600164843085,,
Europe (M49),aggregated,1996,0.915047754264461943,0.908468099346751989,0.91779683980293203,,
Europe (M49),aggregated,1998,0.909955985416667001,0.902519730208332982,0.916341894583333039,,
Europe (M49),aggregated,2020,0.841481513393049108,0.797713652431923048,0.876069052031435924,,
Europe (M49),aggregated,2014,0.860400589085365985,0.834487547132402918,0.878675861195092001,,
Europe (M49),aggregated,1993,0.917863386478057097,0.914116532435380047,0.919555915041833094,,
Europe (M49),aggregated,1995,0.916716098653479028,0.912114834936444185,0.918497572686190034,,
Europe (M49),aggregated,1997,0.912872094791666977,0.905442964791666971,0.917018386593366985,,
Europe (M49),aggregated,2005,0.887754392708333007,0.877428409842360035,0.895262050570532986,,
Europe (M49),aggregated,2006,0.884656270735169059,0.874298929751500919,0.891854044522027989,,
Europe (M49),aggregated,2004,0.890391529166666973,0.880970803303608996,0.89784443943626302,,
Europe (M49),aggregated,2007,0.881643516902430036,0.869430052299435041,0.889896367249164988,,
Europe (M49),aggregated,2008,0.878872365180384918,0.866301401108694025,0.88694968534237506,,
Europe (M49),aggregated,2009,0.875364087598520912,0.861645828792169111,0.885061897754388038,,
Europe (M49),aggregated,2010,0.873097264996097078,0.856130322427891,0.88280536740209703,,
Europe (M49),aggregated,2011,0.869422436342228933,0.85282515409173909,0.881459943415057068,,
Europe (M49),aggregated,2019,0.846098454252873999,0.804994693271771977,0.876649750324814958,,
Europe (M49),aggregated,2017,0.850853635364680838,0.815061511495367097,0.876904608778397932,,
Europe (M49),aggregated,2018,0.848210126097205919,0.810232123739747845,0.877258415349219112,,
Europe (M49),aggregated,2015,0.85728300542620306,0.829459815567162084,0.878250160901010046,,
Europe (M49),aggregated,1999,0.905993592708333018,0.898945408645832944,0.912878083124999962,,
Europe (M49),aggregated,2000,0.903453679166666968,0.895342488437499973,0.909955324895832973,,
Europe (M49),aggregated,2001,0.900272786979167017,0.891790781145832989,0.907042018229166969,,
Europe (M49),aggregated,2002,0.897215668750000028,0.888680413645832945,0.904066967291667023,,
Europe (M49),aggregated,2003,0.89400338958333303,0.885283045847287009,0.901349419270833008,,
Europe (M49),aggregated,2013,0.864161055735973016,0.84021613077711288,0.879809433357450987,,
Europe (M49),aggregated,2012,0.867142505233789995,0.844868567986042041,0.880235872216108994,,
Europe (M49),aggregated,1994,0.917457838693460981,0.913204271545655866,0.919085748576984995,,
