country,group,year,rli,qn05,qn95,n_sp,n_gen_changes
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,1993,0.881648321500334897,0.872634593277582971,0.893735940509188032,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2020,0.784070232483992879,0.750335975742319916,0.81833507405261996,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2015,0.804527646414521014,0.782631926321579963,0.823342668510806952,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2016,0.800638121802142111,0.776691761888975929,0.823033426405551993,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2017,0.795737250905859894,0.772321699707478992,0.822390554412844144,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2018,0.793113600560211962,0.763572833047505894,0.82051390239609201,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2019,0.787909348884415883,0.75799183548454907,0.819947233299540001,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,1997,0.872644899069892066,0.864623941751088032,0.881886946681917028,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,1998,0.869535838627349178,0.861292939800362922,0.878116725719527036,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,1999,0.865632387604620024,0.857371093593492062,0.873581764758815882,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2000,0.861652756558829114,0.854544763745310854,0.869231338283160904,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2001,0.857301216400942034,0.850370338389060954,0.864981400537449985,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2007,0.834019781280467942,0.826255367077230907,0.840793529610310952,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2011,0.819069233490874016,0.804866608638183045,0.828885323901744075,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2012,0.815552069150542014,0.800151831847772943,0.826705688212889034,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2013,0.811591950493958048,0.795669030286625056,0.825432525811994111,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,1996,0.875231910794107004,0.86799609010531098,0.884664094486295016,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2004,0.845447168126447934,0.838895314666917913,0.852563103161791958,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2005,0.841283507240261019,0.834474982462072079,0.848006771246400004,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2006,0.837589148708987041,0.830702113726769942,0.844481233408029053,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2009,0.826441255243259065,0.817796050784021955,0.833286274518906911,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2010,0.823330478948165911,0.812212249326920932,0.83041335404257699,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2002,0.853083552288187996,0.846790630369772868,0.860339201920219954,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2003,0.849703547957745942,0.842677846315169066,0.856471549288017164,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2008,0.830168539157117857,0.821000421214969855,0.836768036614944921,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,2014,0.807516014315122987,0.789078358932355006,0.824632958975203056,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,1995,0.878065367487718018,0.869960425182223052,0.888220003306262051,,
Oceania (M49) excluding Australia and New Zealand (M49),aggregated,1994,0.879983837073277986,0.87189292746750402,0.890016133299134093,,
