time,latitude,longitude,CRW_DHW
UTC,degrees_north,degrees_east,Celsius weeks
2015-01-01T12:00:00Z,-14.475,145.525,0.22
2015-01-02T12:00:00Z,-14.475,145.525,0.22
2015-01-03T12:00:00Z,-14.475,145.525,0.22
2015-01-04T12:00:00Z,-14.475,145.525,0.22
2015-01-05T12:00:00Z,-14.475,145.525,0.22
2015-01-06T12:00:00Z,-14.475,145.525,0.22
2015-01-07T12:00:00Z,-14.475,145.525,0.22
2015-01-08T12:00:00Z,-14.475,145.525,0.22
2015-01-09T12:00:00Z,-14.475,145.525,0.22
2015-01-10T12:00:00Z,-14.475,145.525,0.22
2015-01-11T12:00:00Z,-14.475,145.525,0.22
2015-01-12T12:00:00Z,-14.475,145.525,0.22
2015-01-13T12:00:00Z,-14.475,145.525,0.22
2015-01-14T12:00:00Z,-14.475,145.525,0.22
2015-01-15T12:00:00Z,-14.475,145.525,0.22
2015-01-16T12:00:00Z,-14.475,145.525,0.4
2015-01-17T12:00:00Z,-14.475,145.525,0.55
2015-01-18T12:00:00Z,-14.475,145.525,0.73
2015-01-19T12:00:00Z,-14.475,145.525,0.92
2015-01-20T12:00:00Z,-14.475,145.525,0.92
2015-01-21T12:00:00Z,-14.475,145.525,0.92
2015-01-22T12:00:00Z,-14.475,145.525,0.92
2015-01-23T12:00:00Z,-14.475,145.525,0.92
2015-01-24T12:00:00Z,-14.475,145.525,0.92
2015-01-25T12:00:00Z,-14.475,145.525,0.92
2015-01-26T12:00:00Z,-14.475,145.525,0.92
2015-01-27T12:00:00Z,-14.475,145.525,0.92
2015-01-28T12:00:00Z,-14.475,145.525,0.92
2015-01-29T12:00:00Z,-14.475,145.525,0.92
2015-01-30T12:00:00Z,-14.475,145.525,0.92
2015-01-31T12:00:00Z,-14.475,145.525,0.92
2015-02-01T12:00:00Z,-14.475,145.525,0.92
2015-02-02T12:00:00Z,-14.475,145.525,0.92
2015-02-03T12:00:00Z,-14.475,145.525,0.92
2015-02-04T12:00:00Z,-14.475,145.525,0.92
2015-02-05T12:00:00Z,-14.475,145.525,0.92
2015-02-06T12:00:00Z,-14.475,145.525,0.92
2015-02-07T12:00:00Z,-14.475,145.525,0.92
2015-02-08T12:00:00Z,-14.475,145.525,0.92
2015-02-09T12:00:00Z,-14.475,145.525,0.92
2015-02-10T12:00:00Z,-14.475,145.525,0.92
2015-02-11T12:00:00Z,-14.475,145.525,0.92
2015-02-12T12:00:00Z,-14.475,145.525,0.92
