country,group,year,rli,qn05,qn95,n_sp,n_gen_changes
"",aggregated,2004,0.788285617323281951,0.782221641403895052,0.794893904109107097,,
"",aggregated,2006,0.781166039336157025,0.775163078957416984,0.787836847546479979,,
"",aggregated,2012,0.761574812128431922,0.745615563330137898,0.771485997037964943,,
"",aggregated,2018,0.739243129442506031,0.710215523038189134,0.766175608463277924,,
"",aggregated,2020,0.732391870852681981,0.695033757709383915,0.764135868940849172,,
"",aggregated,1994,0.818827055373921975,0.815003689208769089,0.822923848870529051,,
"",aggregated,1995,0.817470721075430062,0.813301601439280097,0.821793767933410857,,
"",aggregated,1997,0.813469930830075016,0.806452396373786962,0.818238647864000912,,
"",aggregated,1999,0.805937842634603108,0.799659335341652011,0.812728327018834018,,
"",aggregated,2000,0.802589161275443996,0.796258244340237953,0.80945626034375906,,
"",aggregated,2001,0.798982660488249063,0.792876993896622917,0.805410891281355901,,
"",aggregated,2002,0.795315704806729973,0.789306932345530843,0.802278394422771046,,
"",aggregated,2011,0.765398730167617058,0.749145643481550993,0.772227928591671997,,
"",aggregated,2015,0.750996877121824946,0.728074480418924086,0.768184868281405864,,
"",aggregated,2016,0.746862698136944947,0.721586375412037961,0.768139693122151912,,
"",aggregated,2017,0.742619967170816908,0.715388117338339957,0.766822643350540845,,
"",aggregated,1998,0.81011855737135996,0.803159446592314974,0.816511677858787976,,
"",aggregated,2003,0.792066187046792991,0.785788103984944919,0.798362035280752003,,
"",aggregated,2005,0.784885654945709055,0.778567229266675098,0.791289722314219901,,
"",aggregated,2007,0.778010118651386029,0.770829842576729041,0.784083795201735101,,
"",aggregated,2008,0.774422174763792048,0.766215160985329158,0.780658784142700846,,
"",aggregated,2009,0.771739848030077114,0.760759121621060075,0.777088593688026963,,
"",aggregated,2010,0.768236410559290928,0.755212270813595987,0.773590714672504953,,
"",aggregated,2013,0.757642305927856974,0.739867916856299046,0.770293421715749105,,
"",aggregated,2014,0.75488908652139286,0.733519689145165077,0.76979303898627105,,
"",aggregated,2019,0.737374495038189193,0.699979934497537926,0.765217230680944938,,
"",aggregated,1993,0.819715319866349046,0.815535246928142166,0.823762587004709057,,
"",aggregated,1996,0.815884080997534955,0.809753713499488992,0.820157987446348047,,
